product_id,category,sub_category,brand,product_title,Img_URL,short_description,long_description,price,currency,discount_percentage,stock_quantity,rating,review_count,variants,specifications,tags,reviews
CLO011,Clothing,Blazer,FormalFit,Tailored Business Blazer,null,Professional blazer for business wear,Sophisticated tailored blazer with notch lapel perfect for formal occasions.,4999,INR,12,30,4.5,76,"[{""color"":""Black"",""size"":""40""},{""color"":""Charcoal"",""size"":""42""}]","{""material"":""Polyester Blend"",""fit"":""Slim"",""lapel"":""Notch"",""buttons"":""2 Button"",""pockets"":""3"",""lining"":""Fully Lined""}","[""blazer"",""formal"",""business"",""tailored"",""professional""]","[{""rating"":5,""comment"":""Perfect fit and quality""},{""rating"":4,""comment"":""Great for meetings""}]"
CLO012,Clothing,Leggings,ActiveSport,High Waist Yoga Leggings,null,Comfortable leggings for yoga and fitness,Stretchy high-waist leggings with compression fit perfect for workouts.,1199,INR,25,120,4.3,198,"[{""color"":""Black"",""size"":""S""},{""color"":""Gray"",""size"":""M""}]","{""material"":""Spandex Blend"",""fit"":""Compression"",""waist"":""High Waist"",""length"":""Full Length"",""pocket"":""Side Pocket""}","[""leggings"",""yoga"",""fitness"",""stretchy"",""high waist""]","[{""rating"":4,""comment"":""Very comfortable""},{""rating"":5,""comment"":""Perfect for yoga""}]"
CLO013,Clothing,Tank Top,ActiveSport,Breathable Training Tank,null,Lightweight tank top for workouts,Breathable athletic tank with moisture management for intense training sessions.,699,INR,20,130,4.1,167,"[{""color"":""Black"",""size"":""M""},{""color"":""Blue"",""size"":""L""}]","{""material"":""Polyester"",""fit"":""Regular"",""neck"":""Scoop Neck"",""back"":""Racerback"",""moisture_wicking"":""Yes""}","[""tank top"",""training"",""breathable"",""gym"",""athletic""]","[{""rating"":4,""comment"":""Great for gym""},{""rating"":4,""comment"":""Breathable fabric""}]"
CLO014,Clothing,Cardigan,CozyKnit,Button Front Knit Cardigan,null,Cozy knit cardigan for layering,Soft knit cardigan with button closure perfect for layering in cool weather.,2199,INR,15,60,4.3,105,"[{""color"":""Beige"",""size"":""M""},{""color"":""Gray"",""size"":""L""}]","{""material"":""Acrylic Blend"",""fit"":""Regular"",""closure"":""Button"",""pockets"":""2"",""length"":""Hip Length""}","[""cardigan"",""knit"",""layering"",""cozy"",""button front""]","[{""rating"":4,""comment"":""Very soft and comfortable""},{""rating"":4,""comment"":""Great for layering""}]"
CLO015,Clothing,Tracksuit,ActiveSport,Complete Training Tracksuit,null,Full tracksuit for sports and casual,"Matching jacket and pants set perfect for training, jogging and casual wear.",3499,INR,20,45,4.2,89,"[{""color"":""Black"",""size"":""M""},{""color"":""Navy"",""size"":""L""}]","{""material"":""Polyester"",""fit"":""Regular"",""jacket"":""Zip Up"",""pants"":""Elastic Waist"",""pockets"":""4 Total""}","[""tracksuit"",""training"",""sports"",""casual"",""matching set""]","[{""rating"":4,""comment"":""Comfortable for jogging""},{""rating"":4,""comment"":""Good quality""}]"
HOME001,Home & Kitchen,Cookware,ChefPro,Non-Stick Cookware Set 5 Pieces,null,Complete non-stick cookware set,Premium 5-piece cookware set with durable non-stick coating and heat-resistant handles.,3999,INR,18,40,4.4,156,"[{""color"":""Black"",""pieces"":""5""},{""color"":""Red"",""pieces"":""7""}]","{""material"":""Aluminum"",""coating"":""Non-Stick"",""pieces"":""5"",""induction"":""No"",""oven_safe"":""No""}","[""cookware"",""non-stick"",""kitchen"",""cooking"",""set""]","[{""rating"":5,""comment"":""Excellent quality""},{""rating"":4,""comment"":""Easy to clean""}]"
HOME002,Home & Kitchen,Mixer Grinder,PowerBlend,PowerBlend Pro 750W Mixer,null,Powerful mixer grinder with 3 jars,High-performance 750W mixer grinder with stainless steel jars and blades.,4499,INR,15,35,4.3,189,"[{""color"":""White"",""jars"":""3""},{""color"":""Red"",""jars"":""4""}]","{""power"":""750W"",""jars"":""3"",""material"":""Stainless Steel"",""speeds"":""3"",""warranty"":""2 years""}","[""mixer grinder"",""kitchen appliance"",""powerful"",""stainless steel""]","[{""rating"":4,""comment"":""Grinds very well""},{""rating"":5,""comment"":""Powerful motor""}]"
HOME003,Home & Kitchen,Vacuum Cleaner,CleanMaster,Bagless Vacuum Cleaner 1400W,null,Powerful bagless vacuum cleaner,High-suction vacuum cleaner with HEPA filter and multiple attachments.,6999,INR,20,25,4.2,134,"[{""color"":""Blue""},{""color"":""Red""}]","{""power"":""1400W"",""type"":""Bagless"",""capacity"":""2L"",""filter"":""HEPA"",""attachments"":""5""}","[""vacuum cleaner"",""bagless"",""HEPA filter"",""cleaning"",""powerful""]","[{""rating"":4,""comment"":""Great suction power""},{""rating"":4,""comment"":""Easy to use""}]"
HOME004,Home & Kitchen,Air Purifier,PureAir,Smart Air Purifier with HEPA,null,Advanced air purifier for clean air,Smart air purifier with True HEPA filter removes 99.97% of pollutants.,8999,INR,15,30,4.5,167,"[{""color"":""White"",""coverage"":""300 sq ft""},{""color"":""Black"",""coverage"":""500 sq ft""}]","{""filter"":""True HEPA"",""coverage"":""300 sq ft"",""modes"":""4"",""noise"":""25dB"",""smart"":""App Control""}","[""air purifier"",""HEPA"",""smart"",""clean air"",""home""]","[{""rating"":5,""comment"":""Excellent for allergies""},{""rating"":4,""comment"":""Very quiet""}]"
HOME005,Home & Kitchen,Water Purifier,AquaPure,RO Water Purifier 7 Stage,null,Advanced RO water purification system,7-stage RO purification with UV and UF technology for safe drinking water.,12999,INR,18,20,4.4,198,"[{""capacity"":""7L""},{""capacity"":""10L""}]","{""technology"":""RO+UV+UF"",""stages"":""7"",""capacity"":""7L"",""tds"":""Up to 2000ppm"",""warranty"":""1 year""}","[""water purifier"",""RO"",""UV"",""safe water"",""kitchen""]","[{""rating"":5,""comment"":""Water tastes great""},{""rating"":4,""comment"":""Easy installation""}]"
HOME006,Home & Kitchen,Coffee Maker,BrewMaster,Automatic Coffee Machine,null,Programmable coffee maker with timer,Advanced coffee maker with multiple brew strength options and keep-warm function.,5499,INR,20,45,4.3,145,"[{""capacity"":""10 cups"",""color"":""Black""},{""capacity"":""12 cups"",""color"":""Silver""}]","{""capacity"":""10 cups"",""programmable"":""Yes"",""keep_warm"":""Yes"",""brew_strength"":""3 levels"",""filter"":""Permanent""}","[""coffee maker"",""automatic"",""programmable"",""kitchen"",""brewing""]","[{""rating"":4,""comment"":""Makes great coffee""},{""rating"":5,""comment"":""Love the timer feature""}]"
HOME007,Home & Kitchen,Dinner Set,DineWell,Ceramic Dinner Set 24 Pieces,null,Complete ceramic dinner set for 6,Elegant 24-piece ceramic dinner set with modern design for family dining.,3499,INR,22,50,4.2,112,"[{""design"":""Floral"",""pieces"":""24""},{""design"":""Geometric"",""pieces"":""32""}]","{""material"":""Ceramic"",""pieces"":""24"",""serves"":""6"",""microwave_safe"":""Yes"",""dishwasher_safe"":""Yes""}","[""dinner set"",""ceramic"",""tableware"",""dining"",""family""]","[{""rating"":4,""comment"":""Beautiful design""},{""rating"":4,""comment"":""Good quality""}]"
HOME008,Home & Kitchen,Pressure Cooker,ChefPro,Stainless Steel Pressure Cooker 5L,null,Durable pressure cooker for fast cooking,Premium stainless steel pressure cooker with safety features and induction base.,2999,INR,15,60,4.4,223,"[{""capacity"":""3L""},{""capacity"":""5L""}]","{""material"":""Stainless Steel"",""capacity"":""5L"",""induction"":""Yes"",""safety_valves"":""3"",""warranty"":""5 years""}","[""pressure cooker"",""stainless steel"",""induction"",""fast cooking"",""kitchen""]","[{""rating"":5,""comment"":""Cooks very fast""},{""rating"":4,""comment"":""Very safe to use""}]"
HOME009,Home & Kitchen,Microwave Oven,CookFast,Convection Microwave 28L,null,Multi-function convection microwave,Versatile convection microwave with grill and bake functions for complete cooking.,11999,INR,18,28,4.3,176,"[{""capacity"":""23L"",""color"":""Black""},{""capacity"":""28L"",""color"":""Silver""}]","{""capacity"":""28L"",""type"":""Convection"",""power"":""900W"",""functions"":""Microwave, Grill, Bake"",""auto_cook"":""101 menus""}","[""microwave"",""convection"",""multi-function"",""baking"",""kitchen appliance""]","[{""rating"":4,""comment"":""Very versatile""},{""rating"":5,""comment"":""Baking works great""}]"
HOME010,Home & Kitchen,Bedsheet Set,SleepWell,Cotton Bedsheet Set King Size,null,Premium cotton bedsheet with pillowcases,Soft and breathable cotton bedsheet set with matching pillow covers.,1999,INR,25,75,4.2,189,"[{""size"":""Queen"",""design"":""Floral""},{""size"":""King"",""design"":""Geometric""}]","{""material"":""100% Cotton"",""size"":""King"",""thread_count"":""200"",""includes"":""1 Bedsheet, 2 Pillow Covers"",""care"":""Machine Wash""}","[""bedsheet"",""cotton"",""king size"",""bedroom"",""comfortable""]","[{""rating"":4,""comment"":""Very soft and comfortable""},{""rating"":4,""comment"":""Good quality cotton""}]"
BOOK001,Books,Fiction,ReadMore Publishing,The Midnight Garden,null,Mystery thriller novel,Gripping mystery thriller about secrets hidden in an old mansion garden.,399,INR,20,150,4.4,234,"[{""format"":""Paperback""},{""format"":""Hardcover""}]","{""author"":""Sarah Mitchell"",""pages"":""384"",""language"":""English"",""publisher"":""ReadMore Publishing"",""isbn"":""978-1234567890""}","[""fiction"",""thriller"",""mystery"",""suspense"",""bestseller""]","[{""rating"":5,""comment"":""Could not put it down""},{""rating"":4,""comment"":""Great plot twists""}]"
BOOK002,Books,Self Help,GrowthMind Publishing,Mindful Success,null,Guide to achieving goals mindfully,Practical guide combining mindfulness with goal achievement strategies.,449,INR,15,120,4.5,189,"[{""format"":""Paperback""},{""format"":""eBook""}]","{""author"":""Dr. James Cooper"",""pages"":""256"",""language"":""English"",""publisher"":""GrowthMind Publishing"",""isbn"":""978-9876543210""}","[""self help"",""mindfulness"",""success"",""motivation"",""personal growth""]","[{""rating"":5,""comment"":""Life-changing book""},{""rating"":4,""comment"":""Very practical advice""}]"
BOOK003,Books,Programming,TechBooks Press,Python for Data Science,null,Complete guide to Python data analysis,Comprehensive guide covering Python programming for data science and machine learning.,699,INR,18,90,4.6,267,"[{""format"":""Paperback""},{""format"":""eBook""}]","{""author"":""Michael Chen"",""pages"":""512"",""language"":""English"",""publisher"":""TechBooks Press"",""isbn"":""978-5555555555""}","[""programming"",""Python"",""data science"",""machine learning"",""technical""]","[{""rating"":5,""comment"":""Best Python resource""},{""rating"":5,""comment"":""Very comprehensive""}]"
BOOK004,Books,Biography,LifeStory Publishers,Journey to Innovation,null,Biography of tech entrepreneur,Inspiring story of a tech entrepreneur who revolutionized the industry.,499,INR,20,80,4.3,156,"[{""format"":""Paperback""},{""format"":""Hardcover""}]","{""author"":""Robert Williams"",""pages"":""368"",""language"":""English"",""publisher"":""LifeStory Publishers"",""isbn"":""978-7777777777""}","[""biography"",""entrepreneur"",""technology"",""inspiration"",""success story""]","[{""rating"":4,""comment"":""Very inspiring""},{""rating"":5,""comment"":""Motivational read""}]"
BOOK005,Books,Cooking,FlavorBooks,Indian Cuisine Masterclass,null,Comprehensive Indian cooking guide,Complete guide to authentic Indian recipes with step-by-step instructions.,599,INR,15,70,4.5,178,"[{""format"":""Paperback""},{""format"":""Hardcover""}]","{""author"":""Chef Priya Sharma"",""pages"":""320"",""language"":""English"",""publisher"":""FlavorBooks"",""isbn"":""978-8888888888""}","[""cooking"",""Indian cuisine"",""recipes"",""food"",""culinary""]","[{""rating"":5,""comment"":""Authentic recipes""},{""rating"":4,""comment"":""Easy to follow""}]"
BOOK006,Books,Science,Discovery Books,Cosmos Explained,null,Journey through space and time,Fascinating exploration of the universe from atoms to galaxies.,549,INR,12,65,4.6,198,"[{""format"":""Paperback""},{""format"":""Hardcover""}]","{""author"":""Dr. Neil Robertson"",""pages"":""432"",""language"":""English"",""publisher"":""Discovery Books"",""isbn"":""978-9999999999""}","[""science"",""astronomy"",""cosmos"",""space"",""education""]","[{""rating"":5,""comment"":""Mind-blowing content""},{""rating"":5,""comment"":""Beautifully explained""}]"
BOOK007,Books,Children,KidsWorld Publishers,Adventures in Wonderland,null,Illustrated stories for kids,Collection of magical stories with beautiful illustrations for young readers.,349,INR,20,110,4.4,145,"[{""format"":""Paperback""},{""format"":""Hardcover""}]","{""author"":""Emma Thompson"",""pages"":""128"",""language"":""English"",""publisher"":""KidsWorld Publishers"",""isbn"":""978-1111111111"",""age_group"":""5-10 years""}","[""children"",""illustrated"",""stories"",""kids"",""adventure""]","[{""rating"":5,""comment"":""Kids love it""},{""rating"":4,""comment"":""Beautiful illustrations""}]"
BOOK008,Books,Business,Executive Press,Leadership Principles,null,Modern leadership guide,Essential principles and strategies for effective leadership in modern organizations.,599,INR,18,85,4.4,167,"[{""format"":""Paperback""},{""format"":""Hardcover""}]","{""author"":""Margaret Foster"",""pages"":""296"",""language"":""English"",""publisher"":""Executive Press"",""isbn"":""978-2222222222""}","[""business"",""leadership"",""management"",""professional"",""strategy""]","[{""rating"":4,""comment"":""Very insightful""},{""rating"":5,""comment"":""Must-read for managers""}]"
BOOK009,Books,History,Heritage Publishers,Ancient Civilizations,null,Exploration of ancient world cultures,Detailed account of major ancient civilizations and their contributions.,649,INR,15,60,4.5,134,"[{""format"":""Paperback""},{""format"":""Hardcover""}]","{""author"":""Dr. Thomas Anderson"",""pages"":""456"",""language"":""English"",""publisher"":""Heritage Publishers"",""isbn"":""978-3333333333""}","[""history"",""ancient"",""civilizations"",""culture"",""education""]","[{""rating"":5,""comment"":""Very informative""},{""rating"":4,""comment"":""Well researched""}]"
BOOK010,Books,Romance,LoveStory Press,Hearts Entwined,null,Contemporary romance novel,Heartwarming love story set in modern times with relatable characters.,379,INR,22,95,4.2,212,"[{""format"":""Paperback""},{""format"":""eBook""}]","{""author"":""Jessica Martin"",""pages"":""312"",""language"":""English"",""publisher"":""LoveStory Press"",""isbn"":""978-4444444444""}","[""romance"",""love story"",""contemporary"",""fiction"",""emotional""]","[{""rating"":4,""comment"":""Very romantic""},{""rating"":5,""comment"":""Loved the characters""}]"
